page,page_title,active_visitors
training.fema.gov/emi.aspx,FEMA - Emergency Management Institute (EMI) Home Page,17
travel.state.gov/content/passports/en/alertswarnings/mexico-travel-warning.html,Mexico Travel Warning,17
travel.state.gov/content/passports/en/contact-us.html,Contact Us,17
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/step_4_collect_financial_documents.html,Collect Financial Documents,17
tsa.gov/travel,Travel | Transportation Security Administration,17
usaid.gov/,U.S. Agency for International Development,17
usastaffing.opm.gov/usastaffing/default.aspx,USA StaffingÂ®,17
uscis.gov/citizenship/learners/study-test/study-materials-civics-test,Study Materials for the Civics Test | USCIS,17
uscis.gov/forms/paying-immigration-fees,Paying Immigration Fees | USCIS,17
uscis.gov/i-129f,Petition for Alien FiancÃ©(e) | USCIS,17
uscis.gov/i-539,Application To Extend/Change Nonimmigrant Status | USCIS,17
uscis.gov/i-912,Request for Fee Waiver | USCIS,17
uspto.gov/learning-and-resources/fees-and-payment/uspto-fee-schedule,USPTO Fee Schedule | USPTO,17
weather.gov/cae/,"Columbia, SC",17
weather.gov/pbz/,"Pittsburgh, PA",17
yosemite.epa.gov/opa/admpress.nsf/press releases from region 6!openview,U.S. EPA Newsroom - News Releases,17
ada.gov/regs2010/2010adastandards/2010adastandards.htm,2010 ADA Standards for Accessible Design,16
apod.nasa.gov/apod/ap160223.html,APOD: 2016 February 23 - A Supernova through Galaxy Dust,16
archives.gov/federal-register/electoral-college/electors.html,U. S. Electoral College: Who Are the Electors? How Do They Vote?,16
archives.gov/news/federal-holidays.html,2016 Federal Holidays,16
bhs.econ.census.gov/bhs/cosasm/surveyor.html,Census Surveyor,16
bop.gov/,BOP: Federal Bureau of Prisons Web Site,16
cbp.gov/travel/trusted-traveler-programs/global-entry/tsa-precheck,TSA Preâœ“Â® | U.S. Customs and Border Protection,16
cbp.gov/travel/trusted-traveler-programs/sentri,Secure Electronic Network for Travelers Rapid Inspection | U.S. Customs and Border Protection,16
cdc.gov/features/necrotizingfasciitis/,"Necrotizing Fasciitis: A Rare Disease, Especially for the Healthy | Features | CDC",16
cdc.gov/flu/about/viruses/types.htm,Types of Influenza Viruses | Seasonal Influenza (Flu) | CDC,16
cdc.gov/flu/takingcare.htm,The Flu: What To Do If You Get Sick | Seasonal Influenza (Flu) | CDC,16
cdc.gov/nhsn/,NHSN | CDC,16
cdc.gov/norovirus/preventing-infection.html,Norovirus | Preventing Norovirus Infection | CDC,16
cdc.gov/zika/prevention/index.html,Prevention | Zika virus | CDC,16
ceac.state.gov/genniv/general/review/review_reviewfamily.aspx?node=reviewfamily,Nonimmigrant Visa - Review Family Information,16
commerce.gov/,Department of Commerce,16
dea.gov/index.shtml,DEA.gov / Home,16
egov.uscis.gov/casestatus/displaylogon.do,myUSCIS - Login,16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.98Â°N and Longitude 83.94Â°W (Elev. 942 ft),16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.43Â°N and Longitude 79.98Â°W (Elev. 814 ft),16
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 42.36Â°N and Longitude 71.07Â°W (Elev. 13 ft),16
gsaadvantage.gov/advantage/main/start_page.do,Welcome to GSA Advantage!,16
irs.gov/individuals/get-your-refund-faster-tell-irs-to-direct-deposit-your-refund-to-one-two-or-three-accounts,Direct Deposit Your Refund,16
irs.gov/individuals/understanding-your-cp01a-notice,Understanding Your CP01A Notice,16
irs.gov/instructions/i1099msc/ar02.html,Instructions for Form 1099-MISC (2016),16
irs.gov/publications/p502/ar02.html,"Publication 502 (2015), Medical and Dental Expenses",16
irs.gov/publications/p529/ar02.html,"Publication 529 (2015), Miscellaneous Deductions",16
irs.gov/publications/p970/ch03.html,"Publication 970 (2015), Tax Benefits for Education",16
irs.gov/tax-professionals/standard-mileage-rates/,Standard Mileage Rates,16
irs.gov/taxtopics/index.html,Tax Topics,16
irs.gov/taxtopics/tc352.html,"Tax Topics - Topic 352 Which Form â€“ 1040, 1040A, or 1040EZ?",16
irs.gov/uac/latest-news,Latest News,16
irs.gov/uac/newsroom/irs-announces-2016-pension-plan-limitations,"IRS Announces 2016 Pension Plan Limitations; 401(k) Contribution Limit Remains Unchanged at $18,000 for 2016",16
locator.ice.gov/odls/homepage.do,Online Detainee Locator System,16
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=downloaddata&downloaddata_actionoverride=/gov/va/med/mhv/usermgmt/downloadyourdata/downloadreport&_pagelabel=downloaddata,My HealtheVet,16
nasa.gov/audience/forstudents/5-8/features/nasa-knows/what-is-heavy-lift-launch-vehicle-58.html,What Is a Heavy Lift Launch Vehicle? | NASA,16
nasa.gov/offices/oct/feature/the-real-martian-technologies-our-little-green-friends/,The Real Martian Technologies: Our Little Green Friends | NASA,16
nhtsa.gov/,Home | National Highway Traffic Safety Administration (NHTSA),16
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a689011-es.html,Metronidazol oral: MedlinePlus medicinas,16
nlm.nih.gov/medlineplus/spanish/ency/article/000857.htm,Herpes genital : MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/000915.htm,Endometriosis: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/001150.htm,Gastritis: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/001154.htm,Hepatitis: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/003138.htm,Orina con sangre: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/003475.htm,Examen de creatinina en la sangre: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/article/007278.htm,HipotensiÃ_n: MedlinePlus enciclopedia mÃ©dica,16
nlm.nih.gov/medlineplus/spanish/ency/patientinstructions/000614.htm,Sangrado vaginal a comienzos del embarazo: MedlinePlus enciclopedia mÃ©dica,16
nsf.gov/,NSF - National Science Foundation,16
socialsecurity.gov/employer/,Employer W-2 Filing Instructions & Information,16
spc.noaa.gov/products/md/md0144.html,Storm Prediction Center Mesoscale Discussion 144,16
ssa.gov/medicare/,Medicare Benefits,16
ssa.gov/planners/retire/agereduction.html,Retirement Planner: Benefits By Year Of Birth,16
ssa.gov/planners/survivors/survivorchartred.html,Survivors Planner: Social Security Benefit Amounts For The Surviving Spouse By Year Of Birth,16
studentaid.ed.gov/sa/repay-loans/understand/plans,Repayment Plans | Federal Student Aid,16
treasury.gov/initiatives/fsoc/council-meetings/pages/default.aspx,Council Meetings,16
usajobs.gov/search/getresults?recentgrad=yes,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,16
usastaffing.opm.gov/usastaffing/default.aspx?navigation=staffing,USA StaffingÂ®,16
uscis.gov/ar-11,Change of Address | USCIS,16
uscis.gov/i-129,Petition for a Nonimmigrant Worker | USCIS,16
uscis.gov/i-485-addresses,"Direct Filing Addresses for Form I-485, Application to Register Permanent Residence or Adjust Status | USCIS",16
uscis.gov/n-600,Application for Certificate of Citizenship | USCIS,16
water.weather.gov/ahps/,NOAA - National Weather Service - Water,16
weather.gov/dlh/,"Duluth, MN",16
weather.gov/dtx/latestwinterstorm,Winter Storm Will Impact Southeast Michigan Wednesday through Thursday Morning,16
whitehouse.gov/administration/first-lady-michelle-obama,First Lady Michelle Obama | whitehouse.gov,16
benefits.va.gov/gibill/apply.asp,Apply for Benefits - Education and Training,15
benefits.va.gov/gibill/contact_us.asp,Contact Us - Education and Training,15
benefits.va.gov/gibill/post911_gibill.asp,Post-9/11 GI Bill - Education and Training,15
cdc.gov/flu/consumer/treatment.htm,Treatment | Seasonal Influenza (Flu) | CDC,15
cdc.gov/mmwr/volumes/65/wr/mm6505e1.htm,"Interim Guidelines for Prevention of Sexual Transmission of Zika Virus â€” United States, 2016 | MMWR",15
cdc.gov/spanish/especialescdc/escarlatina/,Escarlatina: una infecciÃ_n estreptocÃ_cica del grupo A - Especiales CDC - CDC en EspaÃ±ol,15
cdc.gov/vaccines/ed/youcalltheshots.htm,Vaccines: Ed/You Call the Shots,15
cdc.gov/zika/index.html,Zika Virus | CDC,15
ceac.state.gov/ctrac/invoice/signout.aspx,Sign Out Page,15
consumer.ftc.gov/articles/0076-phone-scams,Phone Scams | Consumer Information,15
consumerfinance.gov/regulations/,Regulations > Consumer Financial Protection Bureau,15
cpars.gov/,Contractor Performance Assessment Reporting System,15
dea.gov/druginfo/ds.shtml,DEA / Drug Scheduling,15
defense.gov/news/contracts,Contracts,15
eauth.va.gov/ebenefits/profile,Profile - eBenefits,15
faq.ssa.gov/link/portal/34011/34019/article/3707/how-do-i-check-the-status-of-a-pending-application-for-benefits,How do I check the status of a pending application for benefits?,15
fbo.gov/?s=opportunity&mode=list&tab=searchresults,Opportunities - Federal Business Opportunities: Opportunities,15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.11Â°N and Longitude 106.64Â°W (Elev. 4990 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 36.17Â°N and Longitude 86.78Â°W (Elev. 479 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.59Â°N and Longitude 84.77Â°W (Elev. 768 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.99Â°N and Longitude 121.68Â°W (Elev. 7638 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.53Â°N and Longitude 122.67Â°W (Elev. 200 ft),15
ftccomplaintassistant.gov/details,Complaint Detail Information - FTC Complaint Assistant,15
grants.nih.gov/grants/funding/424/index.htm,SF424 (R&R) Application and Electronic Submission Information | grants.nih.gov,15
hhs.gov/ohrp/humansubjects/guidance/45cfr46.html,Code of Federal Regulations | HHS.gov,15
hrsa.gov/loanscholarships/repayment/nursing/,Nurse Corps Loan Repayment Program,15
iris.custhelp.com/app/answers/detail/a_id/1703,Toll Free Numbers for Contacting VA,15
irs.gov/affordable-care-act/individuals-and-families/aca-individual-shared-responsibility-provision-exemptions,Individual Shared Responsibility Provision â€“ Exemptions: Claiming or Reporting,15
irs.gov/businesses/online-ordering-for-information-returns-and-employer-returns,Online Ordering for Information Returns and Employer Returns,15
irs.gov/help-&-resources/tools-&-faqs/faqs-for-individuals/frequently-asked-tax-questions-&-answers,Frequently Asked Questions and Answers,15
irs.gov/individuals/employees/tax-withholding,Tax Withholding,15
irs.gov/publications/p946/ch02.html,"Publication 946 (2015), How To Depreciate Property",15
irs.gov/publications/p970/ch02.html,"Publication 970 (2015), Tax Benefits for Education",15
"irs.gov/retirement-plans/plan-participant,-employee/amount-of-roth-ira-contributions-that-you-can-make-for-2016",Amount of Roth IRA Contributions That You Can Make for 2016,15
irs.gov/uac/recent-development-2015-12-29-2015-forms-1095b-1094b-1095c-and-1094c,"New Due Dates for Filing Forms 1095-B, 1094-B, 1095-C and 1094-C -- 29-DEC-2015",15
irs.gov/uac/who-can-i-claim-as-a-dependent,Who Can I Claim as a Dependent?,15
li-public.fmcsa.dot.gov/liview/pkg_form_cc.prc_cc_edit,Credit Card Page,15
niddk.nih.gov/health-information/informacion-de-la-salud/enfermedades-digestivas/diarrea/pages/ez.aspx,Lo que usted debe saber sobre la diarrea | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),15
nlm.nih.gov/medlineplus/ency/article/003206.htm,Numbness and tingling: MedlinePlus Medical Encyclopedia,15
nlm.nih.gov/medlineplus/spanish/ency/article/000246.htm,SÃ_ndrome del intestino irritable : MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000279.htm,Hepatitis B: MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000591.htm,Mononucleosis : MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/000647.htm,Sinusitis: MedlinePlus enciclopedia mÃ©dica,15
nlm.nih.gov/medlineplus/spanish/ency/article/003482.htm,Examen de glucemia: MedlinePlus enciclopedia mÃ©dica,15
nps.gov/findapark/index.htm,Plan Your Adventure (U.S. National Park Service),15
nps.gov/maps/embed.html?mapid=f0cc55f0-99a6-4be4-a4d8-b9cbdb5931db,Maps | National Park Service,15
opm.gov/forms/standard-forms/,Standard Forms,15
opm.gov/policy-data-oversight/veterans-employment-initiative/vet-guide/,Vet Guide,15
osha.gov/publications/poster.html,OSHA's Workplace Poster - English Version - Publication 3165 - Safety and Health: It's the Law,15
portal.hud.gov/hudportal/hud?src=/fhafaq,FHAFAQ,15
secure.rrb.gov/mep/ee/ben_login_required.asp,Login Required,15
smclinician.myhealth.va.gov/mhv-sm-web/savemessageastiu.action,My HealtheVet - Secure Messaging - Read Message,15
ssa.gov/ssi/,Supplemental Security Income,15
store.usgs.gov/b2c_usgs/usgs/maplocator/(ctype=areadetails&xcm=r3standardpitrex_prd&carea=$root&layout=6_1_61_48&uiarea=2)/.do,"The USGS Store - One stop shop for all your maps, world, United States, state, wall decor, historic, planetary, topographic, trail, hiking, foreign, satellite, digital",15
studentaid.ed.gov/sa/fafsa/filling-out/dependency,Dependency Status | Federal Student Aid,15
studentaid.ed.gov/sa/types/grants-scholarships,Grants and Scholarships | Federal Student Aid,15
studentaid.ed.gov/sa/types/loans/plus,PLUS Loans | Federal Student Aid,15
teas.uspto.gov/office/teas.service,Response To Office Action,15
travel.state.gov/content/passports/en/passports/photos/photo-composition-template.html,Photo Composition Template,15
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/checkdate.html,Check Priority Date,15
travel.state.gov/content/visas/en/immigrate/immigrant-process/interview/prepare.html,Prepare for the Interview,15
treasury.gov/auctions/irs/opks_anti_8152.htm,"IRS Auction - Sales Ad for Overland Park, KS",15
usa.gov/branches-of-government,Branches of Government | USA.gov,15
usajobs.gov/applicant/profile/preferences/,USAJOBS - Profile - Preferences,15
usajobs.gov/applicant/resume/uploadsecureresume/,USAJOBS - Resumes,15
usajobs.gov/getjob/viewdetails/395855300/,USAJOBS - Search Jobs,15
uscis.gov/citizenship/learners/recursos-para-la-naturalizacion,Recursos para la naturalizaciÃ_n | USCIS,15
uscis.gov/citizenship/learners/study-test,Study for the Test | USCIS,15
va.gov/opa/persona/index.asp,I am Veteran - US Department of Veterans Affairs,15
va.gov/vaforms/search_action.asp,Search VA Forms,15
weather.gov/crh/weatherstory?sid=dtx&embed=,NWS Weather Story,15
wrh.noaa.gov/pqr/marine/bars_mover.php,NOAA's National Weather Service Bar Cameras,15
www2.ed.gov/about/contacts/gen/index.html,Contact Us & General Inquiries | U.S. Department of Education,15
xnet.nasa.gov/,NASA Armstrong Xnet,15
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.officialpayments.com/fed/index.jsp,IRS Disclaimer,14
atf.gov/news/pr/atf-nrt-concludes-hillsborough-veterans-industrial-park-fire-scene-examination,"ATF NRT Concludes Hillsborough Veterans Industrial Park Fire Scene Examination | Bureau of Alcohol, Tobacco, Firearms and Explosives",14
autoauctions.gsa.gov/gsaautoauctions/vehiclelisting,GSA Fleet Vehicle Sales,14
benefits.va.gov/benefits/applying.asp,Applying for Benefits - Veterans Benefits Administration,14
bhs.econ.census.gov/bhs/sas/index.html,Annual Services Report,14
cdc.gov/actagainstaids/campaigns/hivtreatmentworks/index.html,HIV Treatment Works | Campaigns | Act Against AIDS | CDC,14
cdc.gov/flu/weekly/usmap.htm,Weekly US Map: Influenza Summary Update | Seasonal Influenza (Flu) | CDC,14
cdc.gov/hand-foot-mouth/,Hand Foot and Mouth Disease | Home | HFMD | CDC,14
cdc.gov/obesity/data/childhood.html,Childhood Obesity Facts | Child | Data | Obesity | DNPAO | CDC,14
cdc.gov/vaccines/hcp/vis/vis-statements/tdap.html,Vaccine Information Statement | Tdap | Tetanus-Diphtheria-Pertussis | VIS | CDC,14
ceac.state.gov/genniv/general/complete/complete_securityandbackground4.aspx?node=securityandbackground4,Nonimmigrant Visa - Security and Background: Part 4,14
ceac.state.gov/pps/payment/makepayment.aspx,PPS,14
census.gov/geo/maps-data/data/tiger-line.html,TIGER/LineÂ® - Geography - U.S. Census Bureau,14
defense.gov/news/news-releases/news-release-view/article/672267/flag-officer-assignments,Flag Officer Assignments > U.S. DEPARTMENT OF DEFENSE > News Release View,14
dol.gov/ebsa/5500main.html,Annual Return/Report 5500 Series Forms and Instructions,14
eauth.va.gov/wssweb/wss-common-webparts/mvc/messagecenter,Page Template - Release 3.2 Redesign - eBenefits,14
ebenefits.va.gov/ebenefits/about/feature?feature=compensation-pension-claim-status,About This Feature - eBenefits,14
ebuy.gsa.gov/advantage/ebuy/seller/active_rfqs.do?sort=issuetimedate,GSA Advantage! eBuy Active RFQs,14
faa.gov/regulations_policies/faa_regulations/,FAA Regulations,14
fbo.gov/index?s=opportunity&mode=form&id=ef69463330ae938858af360985e2042f&tab=core&_cview=0,Inflatable Penile Implants - Federal Business Opportunities: Opportunities,14
fec.gov/finance/disclosure/advindsea.shtml,Advanced Individual Search,14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.57Â°N and Longitude 82.54Â°W (Elev. 1982 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.38Â°N and Longitude 77.54Â°W (Elev. 348 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 38.91Â°N and Longitude 77.02Â°W (Elev. 72 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 39.98Â°N and Longitude 83Â°W (Elev. 784 ft),14
irs.gov/affordable-care-act/individuals-and-families/questions-and-answers-on-the-individual-shared-responsibility-provision,Questions and Answers on the Individual Shared Responsibility Provision,14
irs.gov/businesses/small-businesses-&-self-employed/home-office-deduction,Home Office Deduction,14
irs.gov/credits-&-deductions/individuals,Credits & Deductions for Individuals,14
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit/eitc-income-limits-maximum-credit-amounts-next-year,"2016 EITC Income Limits, Maximum Credit Amounts and Tax Law Updates",14
irs.gov/individuals/international-taxpayers/yearly-average-currency-exchange-rates,Yearly Average Currency Exchange Rates,14
irs.gov/individuals/sales-tax-deduction-calculator,Sales Tax Deduction Calculator,14
irs.gov/publications/p523/ar02.html,"Publication 523 (2015), Selling Your Home",14
irs.gov/publications/p527/ch02.html,"Publication 527 (2015), Residential Rental Property",14
irs.gov/publications/p590b/ch01.html,"Publication 590-B (2015), Distributions from Individual Retirement Arrangements (IRAs)",14
irs.gov/publications/p590b/index.html,"Publication 590-B (2015), Distributions from Individual Retirement Arrangements (IRAs)",14
irs.gov/publications/p970/ch04.html,"Publication 970 (2015), Tax Benefits for Education",14
irs.gov/refunds/what-to-expect-for-refunds-this-year,What to Expect for Refunds in 2016,14
irs.gov/retirement-plans/retirement-plans-faqs-regarding-seps-contributions,SEP Plan FAQs - Contributions,14
irs.gov/taxtopics/tc308.html,Tax Topics - Topic 308 Amended Returns,14
"irs.gov/uac/form-1099-s,-proceeds-from-real-estate-transactions","Form 1099-S, Proceeds From Real Estate Transactions",14
"irs.gov/uac/form-8822,-change-of-address","Form 8822, Change of Address",14
irs.gov/uac/list-of-available-free-file-fillable-forms,Available Forms and Limitations,14
irs.gov/uac/ten-facts-about-the-child-tax-credit,Ten Facts about the Child Tax Credit,14
locator.ice.gov/odls/searchbyname.do,Online Detainee Locator System,14
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_windowlabel=loginportlet_homepage&loginportlet_homepage_actionoverride=/gov/va/med/mhv/usermgmt/portlet/login/login&_pagelabel=homerightnavloginpage,My HealtheVet,14
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=prescriptionshiso,My HealtheVet,14
nasa.gov/centers/kennedy/home/index.html,Kennedy Space Center Home | NASA,14
nasa.gov/multimedia/imagegallery/iotd.html,NASA Image of the Day | NASA,14
nasa.gov/realmartians/,The Real Martians | NASA,14
niddk.nih.gov/health-information/health-topics/anatomy/your-digestive-system/pages/anatomy.aspx,Your Digestive System and How It Works | National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a601102-es.html,Prednisona: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a601106-es.html,Ranitidina: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a682753-es.html,Clotrimazol: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a693001-es.html,Ketorolaco: MedlinePlus medicinas,14
nlm.nih.gov/medlineplus/spanish/ency/article/000655.htm,Faringitis y dolor de garganta: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/000678.htm,Resfriado comÃºn: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/000726.htm,Accidente cerebrovascular: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/000840.htm,Piojos de la cabeza : MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/001087.htm,Bronquitis aguda: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/001374.htm,Fiebre del dengue: MedlinePlus enciclopedia mÃ©dica,14
nlm.nih.gov/medlineplus/spanish/ency/article/003479.htm,Examen de bilirrubina en sangre: MedlinePlus enciclopedia mÃ©dica,14
nps.gov/findapark/passes.htm,America the Beautiful (U.S. National Park Service),14
nps.gov/grca/planyourvisit/havasupai.htm,Havasupai Indian Reservation - Grand Canyon National Park (U.S. National Park Service),14
oig.hhs.gov/,Office of Inspector General | U.S. Department of Health and Human Services,14
opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/,Personnel Documentation,14
opm.gov/policy-data-oversight/hiring-authorities/students-recent-graduates/,Students & Recent Graduates,14
portal.hud.gov/hudportal/hud?src=/buying/loans,Loans,14
sba.gov/content/follow-these-steps-starting-business,Follow These 9 Steps to Starting a Business | The U.S. Small Business Administration | SBA.gov,14
sba.gov/content/follow-these-steps-starting-business,The U.S. Small Business Administration,14
search.irs.gov/search?output=xml_no_dtd&proxystylesheet=irs_portals_frontend&client=irs_portals_frontend&oe=utf-8&ie=utf-8&num=10&ud=1&exclude_apps=1&site=default_collection&numgm=5&requiredfields=-archive:1,Search Results: 1040,14
solarsystem.nasa.gov/kids/,Solar System Exploration: Solar System 101,14
spc.noaa.gov/products/outlook/day2otlk.html,"Storm Prediction Center Feb 24, 2016 1730 UTC Day 2 Convective Outlook",14
ssa.gov/disabilityssi/apply-child.html,Apply for Disability Benefits - Child (Under Age 18),14
ssa.gov/news/press/factsheets/colafacts2016.html,Social Security Press Office: 2016 Social Security Changes,14
stopbullying.gov/respond/be-more-than-a-bystander/index.html,Be More Than a Bystander | StopBullying.gov,14
studentaid.ed.gov/sa/types,Types of Aid | Federal Student Aid,14
travel.state.gov/content/passports/en/country.html,Country Information,14
travel.state.gov/content/passports/en/passports/information/card/difference-between-passport-book-and-card.html,Differences Between Passport Book and Passport Card,14
treasurydirect.gov/indiv/help/bc/bc_savings_help.htm,Individual - Savings Bonds Calculator Inventory Instructions,14
usa.gov/credit-reports,Credit Reports and Scores | USA.gov,14
usajobs.gov/support/,USAJOBS - Support,14
uscg.mil/,US Coast Guard Home,14
uscis.gov/file-online,File Online | USCIS,14
uscis.gov/green-card/green-card-through-family,Green Card Through Family | USCIS,14
uscis.gov/videos/consideration-deferred-action-childhood-arrivals-how-apply-or-renew-daca?ftopics_tid=_&embed=1,Consideration of Deferred Action for Childhood Arrivals - How to Apply or Renew DACA | USCIS,14
uspto.gov/trademarks-application-process/filing-online,Filing Online | USPTO,14
va.gov/landing2_contact.htm,Contact Us,14
weather.gov/bis/,"Bismarck, ND",14
whitehouse.gov/1600/presidents/franklindroosevelt,Franklin D. Roosevelt | whitehouse.gov,14
algiers.usembassy.gov/academic_exchanges.html,"Exchanges | Algiers, Algeria - Embassy of the United States",13
archives.gov/veterans/,Veterans' Service Records,13
archives.gov/veterans/military-service-records/index.html,Start Your Military Service Record (DD Form 214) Request,13
blogs.va.gov/vantage/26013/the-appeals-process-remands/,The appeals process: When an appeal is remanded - VAntage Point,13
bls.gov/data/,"Databases, Tables & Calculators by Subject",13
bls.gov/data/inflation_calculator.htm,Inflation Calculator: Bureau of Labor Statistics,13
bls.gov/ooh/life-physical-and-social-science/psychologists.htm,Psychologists : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,13
catalog.usmint.gov/kennedy-2016-half-dollar-2-roll-set-16kb.html?cgid=kennedy-half-dollar-coins,"Kennedy 2016 Half Dollar, 2-Roll Set - US Mint",13
catalog.usmint.gov/kennedy-half-dollar-coins/?cm_mmc=exacttarget-_-campaign-_-20160224jfkhalfdollars+prospect-_-shop+now+cta,Kennedy Half Dollar Coins - US Mint Catalog Online,13
catalog.usmint.gov/on/demandware.store/sites-usm-site/default/cosummary-submit,Checkout Confirmation - US Mint Catalog Online,13
cbp.gov/contact,Contact Us | U.S. Customs and Border Protection,13
cdc.gov/features/scarletfever/,Scarlet Fever: A Group A Streptococcal Infection | Features | CDC,13
cdc.gov/lyme/,Lyme Disease | Lyme Disease | CDC,13
cdc.gov/mold/stachy.htm,CDC - Mold - General Information: Facts about Stachybotrys chartarum and Other Molds,13
cdc.gov/motorvehiclesafety/child_passenger_safety/cps-factsheet.html,Child Passenger Safety: Get the Facts | Motor Vehicle Safety | CDC Injury Center,13
cdc.gov/nchs/fastats/leading-causes-of-death.htm,FastStats - Leading Causes of Death,13
cdc.gov/shingles/about/transmission.html,Shingles | Transmission - How Spreads | Herpes Zoster | CDC,13
ceac.state.gov/genniv/common/import.aspx,Consular Electronic Application Center - Import File,13
ceac.state.gov/ivapp/ivapp/complete/complete_family4.aspx?node=children,Immigrant Visa - Family Information: Children,13
ceac.state.gov/ivapp/ivapp/esign/signtheapplication.aspx?node=signcertify,Immigrant Visa - Sign and Submit,13
census.gov/site-maintenance.html,Site Maintenance,13
cpars.cpars.gov/cpars/app/evaluation_save.action,CPARS/FAPIIS,13
data.bls.gov/timeseries/lns14000000,Bureau of Labor Statistics Data,13
dol.gov/featured/minimum-wage/mythbuster,Minimum Wage Mythbusters | United States Department of Labor,13
donotcall.gov/default.aspx,National Do Not Call Registry,13
eauth.va.gov/ebenefits/apply,Apply for Benefits - eBenefits,13
eauth.va.gov/ebenefits/claims,Claims Status - eBenefits,13
eauth.va.gov/ebenefits/manage/documents,Access Your Documents and Records - eBenefits,13
eauth.va.gov/ebenefits/vdc?target=/wssweb/vdc686/dependent.do,VDC - eBenefits,13
eauth.va.gov/ebenefits/vonapp,Veteran On-Line Application (VONAPP) - eBenefits,13
eauth.va.gov/wssweb/wss-common-webparts/mvc/viewchapter33educationinfo,Chapter 33,13
ebuy.gsa.gov/advantage/ebuy/start_page.do,GSA Advantage ! e-Buy,13
epa.gov/your-drinking-water/basic-information-about-lead-drinking-water,Basic Information about Lead in Drinking Water | Your Drinking Water | US EPA,13
espanol.cdc.gov/enes/flu/about/qa/disease.htm,Preguntas y respuestas sobre la influenza estacional | Influenza estacional | CDC,13
foodsafety.gov/blog/meatinrefrig.html,Meat in the Refrigerator: How Long Does It Last? | FoodSafety.gov,13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 26.14Â°N and Longitude 81.8Â°W,13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 35.65Â°N and Longitude 78.84Â°W (Elev. 400 ft),13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 36.09Â°N and Longitude 79.83Â°W (Elev. 830 ft),13
